topic,document_count,original_topic_name,original_top_terms,original_automatic_dimension,audited_category,audit_confidence,audit_rationale,percent_of_all_modelled,percent_of_nonoutliers
-1,302,-1_the_to_is_and,"['the', 'to', 'is', 'and', 'it', 'for', 'you', 'of', 'my', 'in']",Outlier,Outlier,Not applicable,The retained BERTopic output assigned these documents to the model outlier class. No manual category was imposed.,30.65989847715736,
0,139,0_hmo_the_you_they,"['hmo', 'the', 'you', 'they', 'and', 'is', 'for', 'best', 'my', 'are']",Insurer trust/reliability,Trust and reliability,High,"Representative and sampled documents compare HMOs, providers, service credibility, and reliability.",14.111675126903553,20.351390922401173
1,113,1_nhis_the_office_to,"['nhis', 'the', 'office', 'to', 'you', 'of', 'for', 'register', 'your', 'is']",Access/how-to,Procedural access,High,"Documents mainly ask where and how to register, locate an office, and complete enrolment.",11.472081218274113,16.544655929721817
2,105,2_password_login_the_my,"['password', 'login', 'the', 'my', 'it', 'to', 'is', 'and', 'can', 'this']",Access/how-to,Procedural access,High,"Documents mainly concern login, password, account, and application access procedures.",10.65989847715736,15.373352855051245
3,91,3_nhis_the_to_for,"['nhis', 'the', 'to', 'for', 'in', 'and', 'you', 'is', 'are', 'any']",Unclassified,Coverage and entitlements,Moderate,"Most inspected documents concern NHIS benefits, covered services, eligibility, entitlements, and scheme rules. This corrects the paper's unsupported Access label and the code's Unclassified label.",9.238578680203045,13.323572474377746
4,43,4_you_we_so_for,"['you', 'we', 'so', 'for', 'the', 'very', 'more', 'to', 'this', 'and']",Unclassified,Residual or mixed,High,"The cluster is dominated by reactions, thanks, interpersonal exchanges, and unrelated or low information content.",4.365482233502538,6.295754026354319
5,40,5_premium_my_the_to,"['premium', 'my', 'the', 'to', 'pay', 'money', 'it', 'this', 'payment', 'on']",Premium/Pricing,Procedural access,Moderate,"Documents focus on failed payments, missing payment history, and steps needed to restore or use service. They do not consistently express a pricing knowledge gap.",4.060913705583756,5.856515373352855
6,40,6_it_register_to_so you,"['it', 'register', 'to', 'so you', 'you', 'so', 'registration', 'for', 'be', 'the']",Access/how-to,Procedural access,High,"Documents mainly concern registration follow up, activation, and enrolment procedures.",4.060913705583756,5.856515373352855
7,36,7_in_hmo_you_health,"['in', 'hmo', 'you', 'health', 'and', 'for', 'are', 'lagos', 'the', 'of']",Unclassified,Residual or mixed,Moderate,"Documents mix promotional HMO content, general praise, access concerns, and trust comments without one defensible dominant knowledge gap.",3.654822335025381,5.27086383601757
8,29,8_change_hospital_to_to change,"['change', 'hospital', 'to', 'to change', 'can', 'the', 'my', 'it', 'in', 'you']",Coverage,Procedural access,High,"Documents mainly ask how to change, select, or use a hospital or provider.",2.9441624365482233,4.24597364568082
9,27,9_for_to_comprehensive_and,"['for', 'to', 'comprehensive', 'and', 'you', 'your', 'the', 'is', 'or', 'of']",Terminology,Residual or mixed,High,"The cluster contains promotional, devotional, generic, and unrelated material. It cannot support a terminology finding.",2.7411167512690358,3.953147877013177
10,20,10_the_great_to_doctor,"['the', 'great', 'to', 'doctor', 'it', 'benefits', 'can', 'is', 'and', 'this']",Coverage,Procedural access,Moderate,"Documents mainly concern using application benefits, telemedicine, and service functionality, with some coverage content.",2.030456852791878,2.9282576866764276
